marker_accession	marker_type_name	chr_id	chr_pos	p_value	pubmed_id	author	journal	pubmed_link	study	allele	trait	gene	or_per_copy	platform	ci_95	chr_location	initial_size	replicate_size	merged	cur_snp_id	snp_gene_symbols	snp_gene_ids	snp_gene_validated
6658356	SNP	1	3280252	2e-06	20339536	Barber MJ	PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/20339536	Genome-wide association of lipid-lowering response to statins in combined study populations.	A	Response to statin therapy	PRDM16,ARHGEF16,MEFGF6		Illumina [~2.5 million](imputed)		1p36.32	3,928 Caucasian individuals		0	6658356	PRDM16	63976	1
9662633	SNP	1	3649561	6e-06	22589738	Fox CS	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22589738	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	A	Visceral adipose tissue adjusted for BMI	TP73		Affymetrix &amp; Illumina [2.5 million] (imputed)			5,560 European ancestry women and 4,997 European ancestry men		0	9662633	TP73	7161	1
12562437	SNP	1	3651030	2e-06	22589738	Fox CS	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22589738	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	T	Visceral adipose tissue/subcutaneous adipose tissue ratio	KIAA0495, LRRC47, TP73, CCDC27		Affymetrix &amp; Illumina [2.5 million] (imputed)			5,560 European ancestry women and 4,997 European ancestry men		0	12562437	TP73	7161	1
10910018	SNP	1	3651408	2e-06	22589738	Fox CS	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22589738	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	A	Visceral fat	KIAA0495, LRRC47, TP73, CCDC27		Affymetrix &amp; Illumina [2.5 million] (imputed)			5,560 European ancestry women and 4,997 European ancestry men		0	10910018	TP73	7161	1
10910018	SNP	1	3651408	2e-06	22589738	Fox CS	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22589738	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	A	Visceral fat	KIAA0495,LRRC47,TP73,CCDC27		Affymetrix &amp; Illumina [2.5 million] (imputed)			5,560 European ancestry women and 4,997 European ancestry men		0	10910018	TP73	7161	1
966321	SNP	1	4315203	8e-06	17903294	Yang Q	BMC Med Genet	http://www.ncbi.nlm.nih.gov/pubmed/17903294?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVDocSum	Genome-wide association and linkage analyses of hemostatic factors and hematological phenotypes in the Framingham Heart Study.	?	Factor VII	Intergenic		Affymetrix[70,897]		1p36.32	1,000 individuals(Framingham)		0	966321			
7513590	SNP	1	5170711	5e-06	19260139	Polasek O	Croat Med J	http://www.ncbi.nlm.nih.gov/pubmed/19260139?ordinalpos=2&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genome-wide association study of anthropometric traits in Korcula Island, Croatia.	?	Anthropometric traits	Intergenic	0.31	Illumina [316,730]	[0.17-0.45] mm decrease	1p36.32	898 individuals		0	7513590			
846111	SNP	1	6279369	4e-16	19305409	Pfeufer A	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19305409?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Common variants at ten loci modulate the QT interval duration in the QTSCD Study.	C	QT interval	RNF207	1.49	Affymetrix and Illumina [unsure] (imputed)	[1.00-1.98] ms increase	1p36.31	15,842 individuals	up to 13,602 individuals	0	846111	RNF207	388591	1
846111	SNP	1	6279369	1e-16	19305408	Newton-Cheh C	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19305408?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Common variants at ten loci influence QT interval duration in the QTGEN Study.	C	QT interval	RNF207,NPHP4, CHDS, ACOT7, PLEKHG5, KLH21	1.75	Affymetrix and Illumina [up to 2,543,686] (imputed)	[1.41-2.09] msec increase	1p36.31	13,685 individuals	15,854 individuals	0	846111	RNF207	388591	1
11587438	SNP	1	6631430	4e-06	21738478	Okada Y	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/21738478	Identification of nine novel loci associated with white blood cell subtypes in a Japanese population.	T	White blood cell types	TAS1R1	0.08	Illumina [2,178,645] (imputed)	[0.05-0.11] unit increase		8,794 Japanese ancestry individuals	5,998 Japanese ancestry individuals	0	11587438	TAS1R1	80835	1
2797685	SNP	1	7879062	7e-09	21102463	Franke A	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21102463	Genome-wide meta-analysis increases to 71 the number of confirmed Crohn&#39;s disease susceptibility loci.	A	Crohn&#39;s disease	VAMP3	1.05	Affymetrix &amp; Illumina [953,241] (imputed)	[1.01-1.10]		6,333 European ancestry cases, 15,056 European ancestry controls	15,694 European ancestry cases, 14,026 European ancestry controls, 414 European ancestry parent-offspring trios	0	2797685	PER3	8863	1
35675666	SNP	1	8021972	5e-09	21297633	Anderson CA	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21297633	Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47.	G	Ulcerative colitis	TNFRSF9, ERFFI1, UTS2, PARK7	1.08	Affymetrix &amp; Illumina [~1.1 million] (imputed)	[1.02-1.15]	1p36.23	6,687 European ancestry cases, 19,718 European ancestry controls	9,628 European ancestry cases, 12,917 European ancestry controls	0	35675666	PARK7	11315	1
12727642	SNP	1	8046671	9e-08	20190752	Dubois PC	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20190752	Multiple common variants for celiac disease influencing immune gene expression.	A	Celiac disease	PARK7, TNFRSF9	1.14	Illumina [292,387]	[1.09-1.20]	1p36.23	4,533 European descent cases, 10,750 European descent controls	4,918 European descent cases, 5,684 European descent controls	0	12727642			
438895	SNP	1	8338354	7e-06	22566634	Benjamin DJ	Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/22566634	The genetic architecture of economic and political preferences.	G	Economic and political preferences	Intergenic	0.38	Illumina [628,922]	[0.22-0.55] unit increase		9,617 individuals		0	438895			
2252865	SNP	1	8422675	3e-06	21926974	Ripke S	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21926974	Genome-wide association study identifies five new schizophrenia loci.	?	Schizophrenia		1.08	Affymetrix &amp; Illumina [1,252,901] (imputed)	[1.04-1.11]		9,394 European ancestry cases, 12,462 European ancestry controls	8,442 European ancestry cases, 21,397 European ancestry controls	0	2252865	RERE	473	1
4908760	SNP	1	8526141	7e-15	20410501	Jin Y	N Engl J Med	http://www.ncbi.nlm.nih.gov/pubmed/20410501	Variant of TYR and autoimmunity susceptibility loci in generalized vitiligo.	G	Vitiligo	RERE	1.36	Illumina [520,460]	[1.26-1.48]	1p36.23	1,392 European ancestry cases, 2,629 European ancestry controls	647 European ancestry cases, 1,056 European ancestry controls, 183 European ancestry trios, 332 European ancestry multiplex families	0	4908760	RERE	473	1
12025126	SNP	1	8759553	6e-08	20548946	Ramdas WD	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/20548946	A genome-wide association study of optic disc parameters.	C	Vertical cup-disc ratio	RERE	0.01	Affymetrix and Illumina [~2.5 million] (imputed)	[0.007-0.015] mm2 decrease	1p36.23	7,360 Caucasian individuals	4,455 Caucasian individuals	0	12025126	RERE	473	1
11121380	SNP	1	9408958	5e-08	22491018	Wang J	Pharmacogenomics J	http://www.ncbi.nlm.nih.gov/pubmed/22491018	Genome-wide association analysis implicates the involvement of eight loci with response to tocilizumab for the treatment of rheumatoid arthritis.	?	Response to tocilizumab in rheumatoid arthritis	SPSB1	11.11	Illumina [534,053]			1,157 European and other ancestry rheumatoid arthritis cases	526 European and other ancestry rheumatoid arthritis cases	0	11121380	SPSB1	80176	1
11121382	SNP	1	9411468	4e-06	22658931	Pajewski NM	Vaccine	http://www.ncbi.nlm.nih.gov/pubmed/22658931	A genome-wide association study of host genetic determinants of the antibody response to Anthrax Vaccine Adsorbed.	C	Immune response to anthrax vaccine	SPSB1	0.1	Affymetrix [736,996]	[0.056-0.142] unit decrease		726 European ancestry individuals		0	11121382	SPSB1	80176	1
10492972	SNP	1	10353111	3e-10	18997785	Aulchenko YS	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/18997785?ordinalpos=&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.SmartSearch&amp;log$=citationsensor	Genetic variation in the KIF1B locus influences susceptibility to multiple sclerosis.	C	Multiple sclerosis	KIF1B	1.34	Affymetrix[~250,000]	[1.23-1.48]	1p36.22	45 cases,195 controls	2,634 cases,2,930 controls	0	10492972	KIF1B	23095	1
17401966	SNP	1	10385470	2e-18	20676096	Zhang H	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/20676096	Genome-wide association study identifies 1p36.22 as a new susceptibility locus for hepatocellular carcinoma in chronic hepatitis B virus carriers.	A	Hepatocellular carcinoma	KIF1B,UBE4B,PGD	1.64	Affymetrix [294,566]	[1.49-1.82]	1p36.22	348 Chinese ancestry cases, 359 Chinese ancestry controls	1,962 Chinese ancestry cases, 1,430 Chinese ancestry controls, 159 Chinese ancestry trios	0	17401966	KIF1B	23095	1
12741973	SNP	1	10638603	7e-06	20395239	Macgregor S	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/20395239	Genome-wide association identifies ATOH7 as a major gene determining human optic disc size.	C	Optic disc size (rim)	PEX14	0.17	Illumina [~2.74 million] (imputed)	[0.09-0.25] unit decrease	1p36.22	1,368 Australian twins, 848 UK individuals		0	12741973	PEX14	5195	1
880315	SNP	1	10796865	3e-10	21572416	Kato N	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21572416	Meta-analysis of genome-wide association studies identifies common variants associated with blood pressure variation in east Asians.	C	Blood pressure	CASZ1	0.56	Affymetrix &amp; Illumina [1.7 million] (imputed)	[0.38-0.74] mm Hg increase		17,089 East Asian ancestry individuals, 2,519 Malay ancestry individuals	30,765 East Asian ancestry individuals	0	880315	CASZ1	54897	1
880315	SNP	1	10796865	7e-07	21572416	Kato N	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21572416	Meta-analysis of genome-wide association studies identifies common variants associated with blood pressure variation in east Asians.	C	Blood pressure	CASZ1	0.74	Affymetrix &amp; Illumina [1.7 million] (imputed)	[0.45-1.03] mm Hg increase		17,089 East Asian ancestry individuals, 2,519 Malay ancestry individuals	30,765 East Asian ancestry individuals	0	880315	CASZ1	54897	1
12046278	SNP	1	10799576	5e-06	19430479	Levy D	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19430479?ordinalpos=4&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genome-wide association study of blood pressure and hypertension.	T	Systolic blood pressure	CASZ1	0.53	Affymetrix &amp; Illumina [2,533,153](imputed)	[0.29-0.77] mm Hg decrease	1p36.22	29,136 individuals	34,433 individuals	0	12046278	CASZ1	54897	1
12565727	SNP	1	11033081	9e-11	22693459	Li R	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22693459	Six novel susceptibility Loci for early-onset androgenetic alopecia and their unexpected association with common diseases.	A	Male-pattern baldness	TARDBP	1.33	Affymetrix &amp; Illumina [2,391,230] (imputed)	[1.22-1.45]		3,891 European ancestry cases, 8,915 European ancestry controls		0	12565727	C1orf127	148345	1
9430161	SNP	1	11046854	1e-20	22327514	Postel-Vinay S	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/22327514	Common variants near TARDBP and EGR2 are associated with susceptibility to Ewing sarcoma.	G	Ewing sarcoma	TARDBP	2.2	NR [286,966]	[1.77-2.72]		Up to 427 European ancestry cases, up to 4,352 European ancestry controls	661 European ancestry cases, 1,299 European ancestry controls	0	9430161			
17036350	SNP	1	11171225	4e-13	21665993	Han S	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21665993	Association of variants in FRAP1 and PDGFRA with corneal curvature in Asian populations from Singapore.	T	Corneal curvature	FRAP1	0.18	Illumina [462,291]	[0.11-0.25] unit increase		2,008 Chinese ancestry inidividuals, 2,281 Malay ancestry individuals	2,142 Asian Indian ancestry individuals, 929 Chinese ancestry children	0	17036350	MTOR	2475	1
2336030	SNP	1	11736599	1e-06	22589738	Fox CS	PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/22589738	Genome-wide association for abdominal subcutaneous and visceral adipose reveals a novel locus for visceral fat in women.	C	Visceral adipose tissue adjusted for BMI	MAD2L2		Affymetrix &amp; Illumina [2.5 million] (imputed)			5,560 European ancestry women and 4,997 European ancestry men		0	2336030	MAD2L2	10459	1
4846033	SNP	1	11788563	4e-06	18347602	Sullivan PF	Mol Psychiatry	http://www.ncbi.nlm.nih.gov/pubmed/18347602?ordinalpos=3&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genomewide association for schizophrenia in the CATIE study: results of stage 1.	?	Schizophrenia	Intergenic	2.87	Affymetrix[492,900]		1p36.22	738 cases,733 controls		0	4846033			
17375901	SNP	1	11852515	6e-07	19597492	Benjamin EJ	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19597492?ordinalpos=2&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Variants in ZFHX3 are associated with atrial fibrillation in individuals of European ancestry.	T	Atrial fibrillation	MTHFR, NPPA	1.26	Affymetrix &amp; Illumina [~2.5 million] (imputed)		1p36.22	3,413 cases, 37,105 referents	2,145 cases, 4,073 controls	0	17375901	MTHFR	4524	1
1801133	SNP	1	11856377	8e-35	20031578	Pare G	Circ Cardiovasc Genet	http://www.ncbi.nlm.nih.gov/pubmed/20031578	Novel associations of CPS1, MUT, NOX4, and DPEP1 with plasma homocysteine in a healthy population: a genome-wide evaluation of 13 974 participants in the Women&#39;s Genome Health Study.	A	Homocysteine levels	MTHFR	0.05	Illumina [336,469]		1p36.22	13,974 European ancestry females	840 European ancestry females	0	1801133	MTHFR	4524	1
17367504	SNP	1	11862777	2e-13	19430483	Newton-Cheh C	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/19430483?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Genome-wide association study identifies eight loci associated with blood pressure.	G	Systolic blood pressure	MTHFR, NPPA, CLCN6, NPPB, AGTRAP	0.85	Affymetrix &amp; Illumina [2,497,993] (imputed)	[0.63-1.07] mm Hg decrease	1p36.22	34,433 individuals	Up to 100,347 white individuals, up to 12,889 Indian Asian individuals	0	17367504	MTHFR	4524	1
17367504	SNP	1	11862777	2e-16	21909110	Wain LV	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21909110	Genome-wide association study identifies six new loci influencing pulse pressure and mean arterial pressure.	G	Blood pressure	MTHFR, NPPB	0.53	Affymetrix, Illumina, and Perlegen [NR] (imputed)	[0.40-0.66] mmHg decrease		74,064 European ancestry individuals	48,607 European ancestry individuals	0	17367504	MTHFR	4524	1
1023252	SNP	1	11899032	4e-16	21273288	Del Greco M F	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21273288	Genome-wide association analysis and fine mapping of NT-proBNP level provide novel insight into the role of the MTHFR-CLCN6-NPPA-NPPB gene cluster.	T	Natriuretic peptide levels	CLCN6	0.2	Illumina [~2.5 million] (imputed)	[0.16-0.24] unit increase	1p36.22	1,325 Italian individuals	1,746 German individuals	0	1023252	CLCN6	1185	1
2901964	SNP	1	15792425	5e-06	20932654	Kerns SL	Int J Radiat Oncol Biol Phys	http://www.ncbi.nlm.nih.gov/pubmed/20932654	Genome-wide association study to identify single nucleotide polymorphisms (SNPs) associated with the development of erectile dysfunction in African-American men after radiotherapy for prostate cancer.	?	Erectile dysfunction and prostate cancer treatment	ELA2A	5.26	Affymetrix [512,497]		1p36.21	27 African American cases, 52 African American controls		0	2901964	CELA2A	63036	1
10927875	SNP	1	16299311	1e-09	21459883	Villard E	Eur Heart J	http://www.ncbi.nlm.nih.gov/pubmed/21459883	A genome-wide association study identifies two loci associated with heart failure due to dilated cardiomyopathy.	?	Dilated cardiomyopathy	ZBTB17	1.32	Illumina [517,382](pooled)	[1.19-1.43]	1p36.13	1,179 European ancestry cases, 1,108 European ancestry controls	1,165 European ancestry cases, 1,302 European ancestry controls	0	10927875	ZBTB17	7709	1
9442235	SNP	1	16393356	6e-06	19734545	Need AC	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/19734545?ordinalpos=4&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	A genome-wide study of common SNPs and CNVs in cognitive performance in the CANTAB.	?	Cognitive performance	FAM131C		Illumina [475,971]		1p36.13	1,295 individuals		0	9442235	FAM131C	348487	1
1497406	SNP	1	16505319	3e-19	22001757	Chambers JC	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/22001757	Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma.	G	Liver enzyme levels (gamma-glutamyl transferase)	RSG1, EPHA2	3.8	Affymetrix, Illumina, and Perlegen [~2.6 million] (imputed)	[2.70-4.80] % increase		Up to 52,350 European ancestry individuals, up to 8,739 Indian Asian individuals		0	1497406			
1497406	SNP	1	16505319	4e-08	22010049	Middelberg RP	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/22010049	Loci affecting gamma-glutamyl transferase in adults and adolescents show age &#x000d7; SNP interaction and cardiometabolic disease associations.	T	Gamma gluatamyl transferase levels	Intergenic	0.08	Illumina [2,380,486](imputed)	[0.051-0.105] unit decrease		12,526 European ancestry individuals		0	1497406			
6586513	SNP	1	17216330	4e-06	22036096	Ramasamy A	J Allergy Clin Immunol	http://www.ncbi.nlm.nih.gov/pubmed/22036096	A genome-wide meta-analysis of genetic variants associated with allergic rhinitis and grass sensitization and their interaction with birth order.	C	Allergic rhinitis	CROCC	1.24	Affymetrix &amp; Illumina  [2,217,510] (imputed)	[1.13-1.36]		3,933 European ancestry cases, 8,965 European ancestry controls		0	6586513			
2284746	SNP	1	17306674	8e-16	21946350	Soler Artigas M	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/21946350	Genome-wide association and large-scale follow up identifies 16 new loci influencing lung function.	G	Pulmonary function	MFAP2	0.04	Affymetrix &amp; Illumina [~2.5 million] (imputed)	[0.030-0.050] unit decrease		48,201 European ancestry individuals	46,411 European ancestry individuals	0	2284746	MFAP2	4237	1
2284746	SNP	1	17306674	4e-29	20881960	Lango Allen H	Nature	http://www.ncbi.nlm.nih.gov/pubmed/20881960	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	C	Height	MFAP2	0.04	Affymetrix,  Illumina [2,834,208] (imputed)			133,653 European ancestry individuals	50,074 European ancestry individuals	0	2284746	MFAP2	4237	1
3738814	SNP	1	17331675	2e-07	20189936	Okada Y	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/20189936	A genome-wide association study in 19 633 Japanese subjects identified LHX3-QSOX2 and IGF1 as adult height loci.	A	Height	ATP13A2, SDHB	0.06	Illumina [420,885]	[0.04-0.08] cm increase	1p36.13	19,633 Japanese individuals		0	3738814	ATP13A2	23400	1
2240335	SNP	1	17674536	2e-08	21505073	Terao C	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21505073	The human AIRE gene at chromosome 21q22 is a genetic determinant for the predisposition to rheumatoid arthritis in Japanese population.	?	Rheumatoid arthritis	PADI4		Illumina [241,523]			1,247 Japanese cases, 1,486 Japanese controls	4,168 Japanese cases, 5,003 Japanese controls	0	2240335	PADI4	23569	1
2240335	SNP	1	17674536	2e-08	21452313	Freudenberg J	Arthritis Rheum	http://www.ncbi.nlm.nih.gov/pubmed/21452313	Genome-wide association study of rheumatoid arthritis in Koreans: population-specific loci as well as overlap with European susceptibility loci.	?	Rheumatoid arthritis	PADI4	1.5	Illumina [441,398]		1p36.13	801 Korean cases, 757 Korean controls	718 Korean cases, 719 Korean controls	0	2240335	PADI4	23569	1
7538876	SNP	1	17722362	4e-12	18849993	Stacey SN	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/18849993?ordinalpos=1&amp;itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum	Common variants on 1p36 and 1q42 are associated with cutaneous basal cell carcinoma but not with melanoma or pigmentation traits.	A	Basal cell carcinoma	PADI4, PADI6,RCC2, ARHGEF10L	1.28	Illumina[304,083]	[1.19-1.37]	1p36.13	930 cases,33,117 controls	1,216 cases,2,844 controls	0	7538876	PADI6	353238	1
2254135	SNP	1	17834741	3e-06	22095909	Lange CM	Hepatology	http://www.ncbi.nlm.nih.gov/pubmed/22095909	Serum ferritin levels are associated with a distinct phenotype of chronic hepatitis C poorly responding to pegylated interferon-alpha and ribavirin therapy.	T	Response to hepatitis C treatment	ARHGEF10L	0.27		[0.16-0.38] ug/L increase		707 European ancestry cases		0	2254135			
16861326	SNP	1	18294486	2e-06	20932654	Kerns SL	Int J Radiat Oncol Biol Phys	http://www.ncbi.nlm.nih.gov/pubmed/20932654	Genome-wide association study to identify single nucleotide polymorphisms (SNPs) associated with the development of erectile dysfunction in African-American men after radiotherapy for prostate cancer.	?	Erectile dysfunction and prostate cancer treatment	IGSF21	17.85	Affymetrix [512,497]		1p36.13	27 African American cases, 52 African American controls		0	16861326			
3007729	SNP	1	18795254	5e-06	21441570	Grassi MA	Hum Mol Genet	http://www.ncbi.nlm.nih.gov/pubmed/21441570	Genome-wide meta-analysis for severe diabetic retinopathy.	T	Diabetic retinopathy	IGSF21, KLHDC7A	1.35	Affymetrix &amp; Illumina [2,543,887] (imputed)		1p36.13	973 European ancestry cases, 1,856 European ancestry controls		0	3007729			
742071	SNP	1	18979873	7e-09	22863734	Ludwig KU	Nat Genet	http://www.ncbi.nlm.nih.gov/pubmed/22863734	Genome-wide meta-analyses of nonsyndromic cleft lip with or without cleft palate identify six new risk loci.	T	Orofacial clefts	PAX7	1.32	NR [497,084]	[1.126-1.537]		Up to 666 European ancestry trios, 399 European ancestry cases, 1,318 European ancestry controls	up to 795 East and South Asian ancestry trios	0	742071	PAX7	5081	1
